scenario,reward_mean,reward_std,latency_mean,latency_std,energy_mean,energy_std,cost_mean,cost_std,deadline_miss_mean,deadline_miss_std,avg_q_mean,avg_q_std,training_time_s_mean,training_time_s_std,decision_latency_ms_mean,decision_latency_ms_std,high_level_params,n_params,n_seeds
Classical,-8.15108103156245,1.7221858764696836,10.645937907497302,2.3409465962553866,5.656224155627595,1.1059904434698364,8.15108103156245,1.7221858764696836,0.959937566137566,0.014166977772262203,0.0,0.0,191.81782863100005,17.934665184293202,25.463620163584938,1.5530679036486972,5224,15744,5
HRL+VQC,-4.494774073607294,0.6460297925227335,6.037676230837662,0.8714597328721699,2.9518719163769256,0.42354984337276114,4.494774073607294,0.6460297925227335,0.9065677248677249,0.052078823197685434,0.2903676937840971,0.0633449868078277,150.2624275799999,3.2329053973213004,21.180402180989432,0.43528771071655964,24,10544,5
HRL+VQC+QAOA,-4.654024196289174,1.6938709585187806,6.2410153462750815,2.210830663214383,3.067033046303268,1.178214782356122,4.654024196289174,1.6938709585187806,0.89994708994709,0.020703044752501783,0.27668764762451104,0.03028837578074621,153.13254894000002,1.4496602051462872,21.457865644454667,0.09134045976229059,24,10546,5
Full-QHRL,-2.599649682428756,0.19795110847668546,2.9642400704955896,0.44362680021656153,2.235059294361923,0.05324277119089321,2.599649682428756,0.19795110847668546,0.19920092592592592,0.15782975759964218,0.27668764762451104,0.03028837578074621,153.537995013,1.5980766586769242,21.49464681278544,0.06593371557535456,24,10546,5
w/o VQC,-3.2471081737858056,0.02782484605796841,4.430379155501262,0.06737335882077573,2.0638371920703493,0.01968738467611752,3.2471081737858056,0.02782484605796841,0.7693287037037038,0.02689063820119376,0.0,0.0,222.9033450132003,37.4112820173414,31.084457613005718,4.489164595900556,5224,15746,5
w/o QAOA,-2.6628044753196285,0.12341733413926372,3.0953458852450604,0.2847166097669404,2.2302630653941966,0.0837666847800441,2.6628044753196285,0.12341733413926372,0.24002103174603176,0.11106243227077377,0.2903676937840971,0.0633449868078277,166.46131695199946,11.006399082224705,22.923765839304924,0.7446112091934656,24,10544,5
