ablation,reward_mean,reward_std,latency_mean,latency_std,energy_mean,energy_std,cost_mean,cost_std,deadline_miss_mean,deadline_miss_std
Full Quantum-HRL,-2.599649682428756,0.19795110847668546,2.9642400704955896,0.44362680021656153,2.235059294361923,0.05324277119089321,2.599649682428756,0.19795110847668546,0.19920092592592592,0.15782975759964218
w/o VQC,-3.2471081737858056,0.02782484605796841,4.430379155501262,0.06737335882077573,2.0638371920703493,0.01968738467611752,3.2471081737858056,0.02782484605796841,0.7693287037037038,0.02689063820119376
w/o QAOA,-2.6628044753196285,0.12341733413926372,3.0953458852450604,0.2847166097669404,2.2302630653941966,0.0837666847800441,2.6628044753196285,0.12341733413926372,0.24002103174603176,0.11106243227077377
w/o Bayesian Optimization,-4.654024196289174,1.6938709585187806,6.2410153462750815,2.210830663214383,3.067033046303268,1.178214782356122,4.654024196289174,1.6938709585187806,0.89994708994709,0.020703044752501783
