sigma_n,acc_BO,acc_GD,acc_fixed
0.0,0.36666666666666664,0.16666666666666666,0.26666666666666666
0.05,0.3333333333333333,0.13333333333333333,0.23333333333333334
0.1,0.5166666666666667,0.16666666666666666,0.16666666666666666
0.2,0.43333333333333335,0.23333333333333334,0.2833333333333333
0.4,0.2833333333333333,0.23333333333333334,0.23333333333333334
0.8,0.4666666666666667,0.23333333333333334,0.31666666666666665
