m,depth,qaoa_params,dqn_node_head_params,acc,fallback
3,2,4,5888,0.45,0.0
3,4,8,5888,0.4166666666666667,0.0
5,2,4,6400,0.26666666666666666,0.08333333333333333
5,4,8,6400,0.23333333333333334,0.016666666666666666
8,2,4,7168,0.48333333333333334,0.45
8,4,8,7168,0.23333333333333334,0.11666666666666667
10,2,4,7680,0.6333333333333333,0.6
10,4,8,7680,0.3,0.26666666666666666
12,2,4,8192,0.6333333333333333,0.5833333333333334
12,4,8,8192,0.2833333333333333,0.2833333333333333
