[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s
[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s

[Classical] seed=2024
  [full] ep 50/50 | reward=-4.938 loss=0 lat=6.487s E=3.389J cost=4.938 avgQ=0.00 t=4.079s
[Classical] seed=2024 DONE | reward=-6.0260 lat=7.7624s E=4.2895J miss=0.9374 train=215.6s

[Classical] seed=2025
  [full] ep  1/50 | reward=-7.328 loss=0 lat=9.546s E=5.111J cost=7.328 avgQ=0.00 t=3.965s
  [full] ep  2/50 | reward=-6.802 loss=0 lat=8.892s E=4.712J cost=6.802 avgQ=0.00 t=3.565s
  [full] ep  3/50 | reward=-8.048 loss=0 lat=10.464s E=5.633J cost=8.048 avgQ=0.00 t=3.51s
  [full] ep  4/50 | reward=-6.929 loss=0 lat=9.101s E=4.757J cost=6.929 avgQ=0.00 t=3.546s
  [full] ep  5/50 | reward=-7.208 loss=0 lat=9.403s E=5.013J cost=7.208 avgQ=0.00 t=3.615s
  [full] ep  6/50 | reward=-7.729 loss=0 lat=10.014s E=5.445J cost=7.729 avgQ=0.00 t=3.516s
  [full] ep  7/50 | reward=-6.255 loss=0 lat=8.240s E=4.269J cost=6.255 avgQ=0.00 t=3.47s
  [full] ep  8/50 | reward=-6.463 loss=0 lat=8.547s E=4.379J cost=6.463 avgQ=0.00 t=3.663s
  [full] ep  9/50 | reward=-8.177 loss=0 lat=10.658s E=5.696J cost=8.177 avgQ=0.00 t=3.569s
  [full] ep 10/50 | reward=-7.881 loss=0 lat=10.291s E=5.470J cost=7.881 avgQ=0.00 t=3.575s
  [full] ep 11/50 | reward=-6.489 loss=0 lat=8.537s E=4.441J cost=6.489 avgQ=0.00 t=3.654s
  [full] ep 12/50 | reward=-7.027 loss=0 lat=9.172s E=4.882J cost=7.027 avgQ=0.00 t=3.528s
  [full] ep 13/50 | reward=-5.936 loss=0 lat=7.846s E=4.026J cost=5.936 avgQ=0.00 t=3.62s
  [full] ep 14/50 | reward=-6.840 loss=0 lat=9.012s E=4.668J cost=6.840 avgQ=0.00 t=3.571s
  [full] ep 15/50 | reward=-7.004 loss=0 lat=9.152s E=4.856J cost=7.004 avgQ=0.00 t=3.501s
  [full] ep 16/50 | reward=-7.003 loss=0 lat=9.189s E=4.817J cost=7.003 avgQ=0.00 t=3.554s
  [full] ep 17/50 | reward=-7.244 loss=0 lat=9.495s E=4.993J cost=7.244 avgQ=0.00 t=3.516s
  [full] ep 18/50 | reward=-8.447 loss=0 lat=11.028s E=5.865J cost=8.447 avgQ=0.00 t=3.457s
  [full] ep 19/50 | reward=-6.721 loss=0 lat=8.851s E=4.590J cost=6.721 avgQ=0.00 t=3.582s
  [full] ep 20/50 | reward=-6.301 loss=0 lat=8.338s E=4.263J cost=6.301 avgQ=0.00 t=3.523s
  [full] ep 21/50 | reward=-6.588 loss=0 lat=8.608s E=4.569J cost=6.588 avgQ=0.00 t=3.432s
  [full] ep 22/50 | reward=-6.441 loss=0 lat=8.475s E=4.407J cost=6.441 avgQ=0.00 t=3.633s
  [full] ep 23/50 | reward=-7.455 loss=0 lat=9.737s E=5.173J cost=7.455 avgQ=0.00 t=3.394s
  [full] ep 24/50 | reward=-6.153 loss=0 lat=8.160s E=4.147J cost=6.153 avgQ=0.00 t=3.56s
  [full] ep 25/50 | reward=-6.532 loss=0 lat=8.624s E=4.439J cost=6.532 avgQ=0.00 t=3.581s
  [full] ep 26/50 | reward=-7.196 loss=0 lat=9.481s E=4.911J cost=7.196 avgQ=0.00 t=3.628s
  [full] ep 27/50 | reward=-7.589 loss=0 lat=9.937s E=5.242J cost=7.589 avgQ=0.00 t=3.508s
  [full] ep 28/50 | reward=-6.709 loss=0 lat=8.793s E=4.625J cost=6.709 avgQ=0.00 t=3.61s
  [full] ep 29/50 | reward=-8.281 loss=0 lat=10.819s E=5.742J cost=8.281 avgQ=0.00 t=3.53s
  [full] ep 30/50 | reward=-6.628 loss=0 lat=8.714s E=4.542J cost=6.628 avgQ=0.00 t=3.507s
  [full] ep 31/50 | reward=-8.159 loss=0 lat=10.573s E=5.744J cost=8.159 avgQ=0.00 t=3.511s
